name,density,temperature
Acetonitrile,0.786,25
Dimethyl sulfoxide,1.10,not found
Methanol,0.791,25
"N,N-Dimethylformamide",0.944,not found
Tetrahydrofuran,0.889,25
Acetone,0.791,25
2-Propanol,0.785,25
Deuterium oxide,not found,not found
Dichloromethane,1.325,25
Dimethyl sulfoxide-d6,1.190,25
Trifluoroacetic acid,1.489,20
Chloroform-d,1.500,25
Water,1.000,3.98
Toluene,0.865,25
Ethyl acetate,0.902,25
"1,4-Dioxane",1.034,25
Pyridine,0.978,25
Ethanol,0.789,25
1-Methyl-2-pyrrolidinone,1.028,25
"Hexane, mixture of isomers",0.672,25
Chloroform,1.492,25
Methanol-d4,0.888,25
Glycerol,1.25,not found
Ethylene glycol,1.113,25
Diethyl ether,0.706,25
"N,N-Dimethylacetamide",0.937,25
Heptane,0.684,25
Chlorobenzene,1.106,25
"1,2-Dichloroethane",1.256,25
Hexane,0.659,25
"1,2-Dimethoxyethane",0.867,25
Acetonitrile-d3,0.844,25
2-Methylbutane,0.62,25
Phosphoric acid,1.685,25
Xylenes,0.86,25
n-Hexane,0.659,25
tert-Butyl methyl ether,0.74,25
Cyclohexane,0.779,25
2-Methyltetrahydrofuran,0.86,25
Formamide,1.134,25
1-Methoxy-2-propanol,0.916,25
Carbon tetrachloride,1.594,25
Ethanol absolute,0.789,25
Benzene,0.874,25
"2,2,2-Trifluoroethanol",1.373,25
Acetone-d6,0.872,25
"1,2-Dichlorobenzene",1.306,25
Benzyl alcohol,1.045,25
"N,N-Dimethylformamide-d7",1.03,25
Kerosene,]}]},not found
Acetylacetone,0.975,25
Ethanol 96%,0.789,25
1-Butanol,0.81,25
Octane,0.703,25
Cyrene™,1.25,not found
3-Methyl-1-butanol,0.809,25
2-Butanol,0.808,25
Dodecane,0.75,25
Toluene-d8,0.943,25
4-Methyl-2-pentanone,0.801,25
"2,2,4-Trimethylpentane",0.692,25
n-Heptane,0.684,25
p-Xylene,0.861,20
"1,3-Dioxolane",1.06,25
Butyl acetate,0.88,25
Potassium bromide,not found,not found
Tetrahydrofuran-d8,0.985,25
Hexadecane,0.773,25
Ethylbenzene,0.867,25
"α,α,α-Trifluorotoluene",1.19,20
Cyclohexanol,0.948,25
"1,2-Propanediol",1.036,25
Cyclopentyl methyl ether,0.86,25
Ethyl methyl carbonate,1.006,25
Propylene carbonate,1.204,25
1-Octanol,0.827,25
Dichloromethane-d2,1.362,25
Diisopropyl ether,0.725,25
Methylcyclohexane,0.77,25
"1,1,2,2-Tetrachloroethane-d2",1.62,25
1-Propanol,not found,not found
1-Hexanol,0.814,25
Methyl formate,0.974,20
Tetrachloroethylene,1.623,25
"1,2-Dichlorobenzene-d4",1.341,25
Dimethyl isosorbide,1.15,25
Nitromethane,1.127,25
Acetonitrile with 0.1% (v/v) Formic acid,0.782,25
2-Heptanone,0.82,25
Ethanolamine,not found,not found
Ethanol-d6,0.892,25
"Water, DEPC-Treated, Molecular Biology Grade",1.000,3.98
Cyclopentane,0.751,25
Methyl acetate,0.934,25
Ethylene carbonate,1.321,25
1-Dodecanol,0.833,25
o-Cresol,not found,not found
Triethylene glycol dimethyl ether,0.986,25
2-Methoxyethanol,0.965,25
Diethylene glycol methyl ether,1.023,25
Diethylene glycol monoethyl ether acetate,1.011,25
Methanol-OD,0.813,25
Dimethoxymethane,0.86,25
Methanol-d3,0.867,25
Benzonitrile,not found,not found
"1,4-Dioxane-d8",1.129,25
Methanol:Water 30:70 (v:v),"100 μg/mL in acetonitrile (as free base), certified reference material, Cerillian",not found
Pyridine-d5,1.05,25
Petroleum ether,0.64,25
"Decahydronaphthalene, mixture of cis + trans",0.896,25
Propyl acetate,0.888,25
1-Chlorobutane,0.886,25
Isopentyl acetate,0.876,25
n-Butyl acetate,0.88,25
DL-α-Tocopherol methoxypolyethylene glycol succinate solution,1.002,25
"1,2,3,4-Tetrahydronaphthalene",0.973,25
1-Pentanol,0.811,25
tert-Butyl acetoacetate,0.954,25
Carbon disulfide,1.266,25
Cyclohexane-d12,0.893,25
Diethoxymethane,0.831,25
tert-Butanol,not found,not found
Ethyl methyl ketone,not found,not found
Cyclohexanone,not found,not found
Benzene-d6,0.950,25
2-Propanol-d8,0.890,25
Aniline,not found,not found
Pentane,0.626,25
Tetrahydropyran,0.881,25
Ethylene glycol butyl ether,0.902,25
Isoamyl alcohol,0.809,25
2-Methoxyethyl acetate,1.009,25
n-Pentane,0.626,25
2-Methyl-1-propanol,0.803,25
"1,2-Dichloroethane-d4",1.307,25
Trichloroacetic acid,1.62,25
Acetic acid-d4,1.119,25
Isobutyl methyl ketone,0.801,25
Water solution,not found,not found
Acetonitrile with 0.1% (v:v) trifluoroacetic acid,0.782,25
Bromobenzene-d5,1.539,25
Triacetin,not found,not found
Hexane-d14,0.767,25
Isohexane,not found,not found
Ethylene glycol monomethyl ether,0.965,25
tert-Amyl alcohol,not found,not found
1-Methyl-2-pyrrolidone,not found,not found
Trichloroethylene,1.463,25
Dimethyl carbonate,1.069,25
5-Methyl-2-hexanone,0.814,25
Nitromethane-d3,1.183,25
Benzenesulfonic acid,not found,not found
Triethanolamine,not found,not found
Piperidine,0.862,20
p-Xylene-d10,0.948,25
Ethylene-d4 glycol,1.184,25
2-Propanol 70 % (v/v),not found,not found
2-Butanone,0.805,25
Ethyl acetate-d8,0.984,25
Xylene (isomeric mixture),not found,not found
"N,N-Dimethylacetamide-d9",1.033,25
"2,2,2-Trifluoroethanol-d3",1.415,25
Ethylene glycol-d6,1.220,25
Petroleum benzine boiling range 60-80°C,not found,not found
Diethylene glycol diethyl ether,0.909,25
"1,1,1,2-Tetrachloroethane",1.598,25
1-Methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,not found,not found
"1,2-Dibromoethane-d4",2.226,25
Ethanol-OD,0.806,25
Isopropyl myristate,not found,not found
o-Xylene-d10,0.953,25
1-Butanol-d10,0.920,25
Octane-d18,0.815,25
Isobutanol,not found,not found
Ethylbenzene-d10,0.949,25
2-Ethoxyethanol,0.93,25
Tributylmethylammonium bis(trifluoromethylsulfonyl)imide,not found,not found
Ethyl(-)-L-lactate,not found,not found
1-Ethyl-3-methylimidazolium tetrafluoroborate,1.294,25
"1,1,2-Trichlorotrifluoroethane",1.57,25
1-Ethyl-3-methylimidazolium acetate,not found,not found
Diethanolamine,not found,not found
Ether-d10,0.801,25
Acetonitrile with 0.1% ammonium acetate,not found,not found
Heavy metal mix according to USP <561> articles of botanical origin,"certified reference material, 2000 μg/mL each component in methano",not found
Dibromomethane-d2,2.505,25
Petroleum benzine,not found,not found
m-Xylene-d10,0.95,25
SPGS-550-M,1.005,25
Petroleum benzine boiling range 80-100°C,not found,not found
"Cap Mix A, (80% Tetrahydrofuran, 10% Acetic Anhydride, 10% Pyridine)",0.916,25
Methylcyclohexane-d14,0.88,25
Chloroform solution,not found,not found
Ethanol for analysis,not found,not found
Pentane-d12,0.731,25
